zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60004,0.167172341,0.14597104,0.519561112,0.840188534,0.949316709,0.451354062,0.922835731,0.072400542,0.531101198,0,0.015206238,0.041649433,0.009317025,0.013583066,0.066413763,0.106643198,0.034888554,0.062730904,0.048409739,0,0.398841918,0.066172695,0.186640026,0.146029197,20,20.39884192
60005,0.167172341,0.14597104,0.328327162,0.508622161,0.779625712,0.451354062,0.536242384,0.045018286,0.254584406,0,0.015206238,0.026319599,0.005793278,0.013583066,0.04020468,0.087580655,0.034888554,0.036451742,0.023205304,0,0.283233115,0.047319115,0.141368401,0.094545599,20,20.28323311
60007,0.233946562,0.236875965,0.654754649,0.793131195,1.740232874,0.677031093,0.997660249,0.078898027,0.502692917,0,0.021280117,0.052486915,0.010153168,0.022042056,0.062694056,0.195492186,0.05233283,0.067817194,0.045820332,0,0.530118853,0.0839202,0.280228298,0.165970356,20,20.53011885
60008,0.401118902,0.382847006,1.041021899,1.365704408,3.053013051,1.128385155,1.75837619,0.143872872,0.972107653,0,0.036486355,0.083451149,0.0185146,0.035625122,0.107953828,0.342965705,0.087221384,0.119527804,0.088607365,0,0.920353312,0.138452104,0.486544655,0.295356553,20,20.92035331
60010,0,0,0.0869629,0.259586002,0.188398378,0,0.299298075,0.034034443,0.548618557,0,0,0.006971183,0.004379798,0,0.020519303,0.02116407,0,0.020345158,0.050006442,0,0.123385954,0.011350981,0.041683373,0.0703516,20,20.12338595
60015,4.533069815,2.837433326,32.07696217,36.98884912,41.73062127,6.31895687,38.49685857,3.355950768,15.83769965,0,0.412334583,2.571376594,0.431867976,0.264032126,2.923830241,4.687884295,0.48843975,2.616871748,1.443602295,0,15.84023961,3.415579153,7.875746662,4.548913793,20,35.84023961
60016,0.193219023,0.112677458,0.85691173,0.980404084,1.073792337,0.225677031,0.78779529,0.096534056,0.302917036,0,0.017575482,0.068692377,0.012422699,0.010484993,0.077497278,0.120626391,0.017444277,0.053551363,0.027610811,0,0.405905669,0.098690558,0.208608662,0.09860645,20,20.40590567
60018,1.408178343,1.109901543,5.240886705,5.747477114,8.465487294,2.933801404,5.677043127,0.614940502,2.142234863,0,0.128089938,0.420123743,0.079134984,0.103279842,0.454316579,0.950985721,0.226775598,0.385904054,0.195264163,0,2.94387462,0.627348664,1.508582141,0.807943815,20,22.94387462
60022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60025,0.257625364,0.150236611,2.073600797,2.315059182,2.613133731,0.300902708,2.308633325,0.191521092,0.792045055,0,0.023433975,0.166225484,0.024646317,0.013979991,0.182996773,0.293551071,0.023259036,0.156932216,0.072194705,0,0.957219569,0.214305776,0.490527836,0.252385957,20,20.95721957
